run,hidden_size,lstm_layers,learning_rate,dropout,bidirectional,val_acc,time
1,256,1,0.0001,0.3,False,88.17,1645.85
2,256,1,0.0001,0.3,True,87.63,1637.99
3,256,1,0.0001,0.5,False,90.32,2185.66
4,256,1,0.0001,0.5,True,90.32,2191.19
5,256,1,0.001,0.3,False,76.88,3902.47
6,256,1,0.001,0.3,True,70.97,5459.39
7,256,1,0.001,0.5,False,75.27,5494.19
8,256,1,0.001,0.5,True,76.34,4371.55
9,256,2,0.0001,0.3,False,90.86,3292.31
10,256,2,0.0001,0.3,True,90.86,3277.05
11,256,2,0.0001,0.5,False,90.32,2773.69
12,256,2,0.0001,0.5,True,89.25,2718.27
13,256,2,0.001,0.3,False,45.7,4292.68
14,256,2,0.001,0.3,True,63.44,5235.81
15,256,2,0.001,0.5,False,55.91,3118.22
16,256,2,0.001,0.5,True,68.28,6024.12
17,512,1,0.0001,0.3,False,89.78,1632.34
18,512,1,0.0001,0.3,True,89.78,3819.84
19,512,1,0.0001,0.5,False,90.32,2028.49
20,512,1,0.0001,0.5,True,90.86,2212.15
21,512,1,0.001,0.3,False,49.46,1249.14
22,512,1,0.001,0.3,True,74.73,2427.42
23,512,1,0.001,0.5,False,70.43,1613.73
24,512,1,0.001,0.5,True,74.73,2789.42
25,512,2,0.0001,0.3,False,90.32,2490.79
26,512,2,0.0001,0.3,True,90.86,1402.1
27,512,2,0.0001,0.5,False,88.17,2815.43
28,512,2,0.0001,0.5,True,90.86,3040.12
29,512,2,0.001,0.3,False,55.38,4040.38
30,512,2,0.001,0.3,True,52.15,1955.32
31,512,2,0.001,0.5,False,54.3,3103.56
32,512,2,0.001,0.5,True,34.95,1639.71
33,1024,1,0.0001,0.3,False,88.17,1629.79
34,1024,1,0.0001,0.3,True,90.32,2748.71
35,1024,1,0.0001,0.5,False,90.86,3270.86
36,1024,1,0.0001,0.5,True,89.25,2729.09
37,1024,1,0.001,0.3,False,45.7,1648.12
38,1024,1,0.001,0.3,True,79.03,5434.24
39,1024,1,0.001,0.5,False,73.12,4375.69
40,1024,1,0.001,0.5,True,77.96,4701.38
41,1024,2,0.0001,0.3,False,91.4,19387.75
42,1024,2,0.0001,0.3,True,90.32,1720.03
43,1024,2,0.0001,0.5,False,89.78,3322.18
44,1024,2,0.0001,0.5,True,90.86,3302.93
45,1024,2,0.001,0.3,False,36.56,1692.14
46,1024,2,0.001,0.3,True,40.32,1356.13
47,1024,2,0.001,0.5,False,45.7,2654.25
48,1024,2,0.001,0.5,True,38.17,1171.35
